"X"	"PD_3_VTA"	"PD_4_SNc"	"PD_5_SNc"	"PD_4_VTA"	"PD_2_SNc"	"PD_5_VTA"	"PD_3_SNc"	"PD_1_SNc"	"PD_1_VTA"
"CCDC88A"	241	63	639	45	422	72	114	148	334
"EIF3J"	13	1	89	18	19	16	16	22	5
"YARS"	25	10	56	17	111	39	37	34	16
"IQGAP1"	14	7	67	3	94	0	9	1	2
"FAM189A2"	17	0	2	0	9	0	39	0	0
"TSNAXIP1"	0	0	5	0	0	0	2	0	0
"MOV10"	0	0	0	0	0	0	0	0	0
"PRPF18"	29	1	11	4	7	31	3	0	1
"PAPSS2"	1	1	8	80	0	0	15	4	1
"SBSPON"	2	6	0	1	2	2	0	6	2
"MAX"	85	8	61	0	6	18	50	4	149
"MIR34C"	0	0	0	0	0	0	0	0	0
"SRP9"	332	6	92	50	19	14	117	88	117
"SERPINF2"	0	0	0	0	0	0	0	0	0
"TXNDC12"	15	0	19	7	0	0	0	0	0
"PTDSS1"	185	85	95	15	190	54	52	35	61
"COPZ2"	22	0	0	0	0	0	0	0	0
"CWC15"	34	7	4	50	20	3	11	24	3
"MTSS1"	67	7	101	8	79	4	39	49	117
"KIAA0586"	49	1	80	1	49	2	42	19	29
"SNX17"	82	3	50	15	135	3	28	34	23
"RIMS3"	167	58	28	16	115	45	200	80	49
"RNF144A"	10	0	66	0	108	26	5	13	38
"KIAA0232"	318	58	149	30	169	80	75	55	218
"SRRT"	28	0	41	24	44	3	3	11	31
"RASSF2"	0	0	0	20	0	5	74	2	27
"DYNC2LI1"	31	0	18	7	10	0	12	3	0
"EPS8L1"	0	0	12	0	0	0	0	0	0
"SLC17A4"	0	0	0	0	0	0	0	0	0
"VEGFA"	9	0	26	11	37	0	29	2	24
"MICA"	0	0	0	0	0	0	0	4	0
"PIWIL1"	0	0	0	0	0	0	0	0	0
"MAPKAPK2"	25	0	4	9	0	0	16	11	3
"BZRAP1"	0	0	0	0	0	0	0	0	0
"ST8SIA2"	1	1	0	0	0	0	9	0	1
"RPS6KA5"	16	19	73	8	44	24	13	22	64
"AIMP1"	34	35	37	17	135	30	10	7	8
"NUMBL"	9	19	74	15	44	0	25	6	17
"MPHOSPH10"	87	0	15	5	22	38	86	5	2
"RABEP1"	665	71	139	75	233	131	200	145	55
"EHF"	0	0	1	0	0	0	0	1	0
"CAPRIN1"	134	21	108	40	124	12	90	16	111
"CRLF1"	0	0	0	0	0	0	0	0	0
"CCPG1"	16	1	31	4	27	25	9	14	2
"DLG5"	16	0	13	0	0	0	0	0	0
"ZFAND5"	1606	208	792	701	976	391	547	753	1346
"SMAD9"	1	27	0	7	7	10	25	0	53
"GDF15"	0	0	0	0	0	0	0	0	0
"ZNF124"	0	0	4	23	79	0	26	0	0
"ROCK2"	201	48	190	47	187	7	43	66	158
"CCIN"	0	0	0	0	0	0	0	0	0
"UQCRFS1"	48	10	82	21	88	1	17	37	37
"UCHL3"	27	0	5	0	0	0	7	0	1
"TRIM49D2P"	0	0	0	0	0	0	0	0	0
"CAMTA1"	263	31	198	58	165	52	121	103	223
"BDNF"	0	20	0	22	126	0	4	2	65
"SEZ6L"	521	109	359	157	388	39	149	253	301
"RGS6"	184	4	103	47	113	103	58	45	21
"CPXCR1"	0	0	0	0	0	0	0	0	0
"ARMCX6"	0	0	0	0	0	0	0	0	0
"UGT3A1"	0	0	0	0	0	0	0	0	0
"CHMP4B"	364	49	229	93	364	134	160	100	328
"SPDYA"	0	0	3	0	0	0	5	0	0
"MRPL43"	82	0	6	3	8	0	13	41	22
"ADD1"	350	147	191	129	172	47	258	39	144
"PIGN"	66	0	76	0	34	1	11	1	9
"PSME1"	66	8	60	52	56	0	26	35	20
"CDK5RAP3"	0	0	0	0	0	2	0	0	15
"SLC7A8"	118	18	32	6	15	3	8	29	86
"EXD2"	17	1	13	0	62	0	13	0	2
"FABP9"	0	0	0	0	0	0	0	0	0
"GPR107"	141	1	54	2	102	15	59	29	48
"PIK3CD-AS1"	0	0	0	0	0	0	0	0	0
"C11orf57"	0	0	0	0	0	0	0	0	0
"SLC14A1"	0	0	0	4	0	0	4	0	35
"TKTL1"	0	0	0	0	0	0	0	0	0
"PCCB"	28	3	6	0	2	0	8	8	3
"SCHIP1"	0	0	0	0	0	16	5	5	0
"PRSS3"	0	0	4	0	0	0	0	0	0
"DBF4B"	0	0	0	8	0	0	0	0	0
"LRRTM4"	4	0	5	0	0	0	3	1	14
"CCNL2"	66	26	53	10	30	7	23	52	12
"IFT74"	37	0	26	3	23	1	10	0	7
"XYLT1"	29	14	20	4	30	0	32	5	20
"CWH43"	0	0	0	0	0	0	0	0	0
"EDC3"	39	4	8	10	10	0	15	0	12
"MIR1273D"	0	0	0	0	0	0	0	0	0
"MIR7641-2+RNA5S1+RNA5S10+RNA5S11+RNA5S12+RNA5S13+RNA5S14+RNA5S15+RNA5S16+RNA5S17+RNA5S2+RNA5S3+RNA5S4+RNA5S5+RNA5S6+RNA5S7+RNA5S8"	0	0	0	0	0	0	0	0	0
"ZNF485"	0	0	0	1	0	0	1	0	4
"RNU6-1+RNU6-2+RNU6-7+RNU6-8+RNU6-9"	0	0	0	0	0	0	0	0	0
"DSC2"	0	0	0	2	0	0	17	0	9
"NFYB"	144	81	18	4	0	79	41	69	10
"RBM10"	53	6	41	14	27	1	14	0	5
"AGA"	0	0	0	0	0	0	0	0	0
"ADSL"	41	9	0	17	8	0	9	15	0
"ADRB3"	0	0	0	0	0	0	0	0	0
"SGCA"	0	0	0	1	0	0	0	0	0
"KIR2DS1"	0	0	0	0	0	0	0	0	0
"CEP57"	51	0	23	20	4	62	35	28	8
"ZNF691"	0	9	0	0	2	0	0	0	2
"ARHGEF38"	4	0	1	0	0	0	0	1	0
"PRPF4"	102	1	16	11	72	3	9	6	13
"SLC14A2"	0	0	0	0	0	0	0	0	0
"DTNB"	132	14	15	1	18	0	32	21	22
"HVCN1"	2	0	0	0	0	0	3	1	0
"RAB2A"	816	36	308	103	434	334	192	219	440
"HCN3"	8	0	65	60	82	0	3	0	0
"SCAPER"	54	3	39	0	56	7	40	5	34
"NOMO2"	1	0	3	0	0	0	0	0	0
"CD4"	0	0	0	0	0	0	0	0	0
"FHOD3"	2	2	2	1	3	0	5	0	0
"CDSN"	0	0	0	0	0	0	0	0	0
"FIGNL1"	0	0	12	0	8	20	1	0	169
"RRM2B"	123	21	60	23	30	40	19	37	55
"AMPD3"	106	1	140	146	150	29	30	39	103
"IKBKE"	1	0	10	0	0	0	1	0	0
"SSX2IP"	190	0	16	9	64	9	38	3	109
"ZNF490"	0	0	1	0	0	0	0	0	0
"ZNF512B"	2	0	5	0	0	0	1	0	1
"RNU5E-1"	0	0	0	0	0	0	0	0	0
"RPL17"	0	0	2	0	0	0	0	0	0
"PEX26"	8	0	30	5	18	5	29	22	7
"TUBB6"	0	0	3	0	0	2	0	0	0
"RXRG"	0	0	0	0	0	0	0	0	0
"KRT23"	0	0	0	0	0	0	0	0	0
"MOCS2"	193	9	68	81	40	19	15	6	37
"PAN3"	13	2	29	0	2	60	11	0	2
"TAS2R38"	0	0	0	0	0	0	0	0	0
"ADAM15"	0	0	18	0	0	0	0	0	0
"STK26"	0	0	0	0	0	0	0	0	0
"BRDT"	0	0	0	0	3	0	0	3	0
"OR10A4"	0	0	0	0	0	0	0	0	0
"NDRG2"	56	0	22	31	19	8	10	33	5
"SYF2"	16	5	16	2	34	5	17	0	75
"SNORA59A+SNORA59B"	0	0	0	0	0	0	0	0	0
"LGALS9B"	0	0	0	0	0	0	0	0	0
"VAV3"	250	20	46	149	258	5	35	134	447
"RPH3AL"	0	0	1	0	0	0	0	4	0
"PLD3"	447	13	324	71	177	47	119	104	105
"SNUPN"	17	6	16	2	24	13	2	15	11
"LINGO1-AS2"	0	0	0	0	0	0	0	0	0
"CLCNKA"	0	0	0	0	0	0	0	0	0
"DEFB105A+DEFB105B"	0	0	0	0	0	0	0	0	0
"PSMD9"	88	0	1	1	4	0	13	0	0
"ATP7B"	0	0	4	0	26	2	0	0	8
"AGTPBP1"	154	3	149	26	122	178	39	12	140
"TRAPPC6B"	223	35	217	56	203	75	80	241	96
"CNTNAP3B"	1	0	5	0	0	0	0	0	0
"PLEKHN1"	0	0	0	0	0	0	0	0	0
"PRR5L"	0	0	0	0	0	0	0	0	0
"KIR3DS1"	0	0	0	0	0	0	0	0	0
"TMEM68"	3	0	27	0	8	1	6	0	5
"DLK2"	7	0	0	0	0	0	31	0	0
"HMGCS1"	83	0	132	2	16	23	43	19	70
"ANKRD33B"	0	0	7	0	0	0	0	0	0
"USP17L24+USP17L25+USP17L26+USP17L27+USP17L28+USP17L29+USP17L30+USP17L5"	0	0	0	0	0	0	0	0	0
"NXF5"	0	0	0	0	0	0	0	0	0
"SLC25A17"	48	0	21	1	36	2	13	4	8
"SH3YL1"	102	0	53	29	74	40	59	42	19
"RFPL3S"	0	0	0	0	0	0	0	0	0
"PQLC3"	13	0	0	0	1	0	0	0	0
"LINC00632"	203	10	340	1	462	105	84	106	32
"UQCRHL"	0	0	4	0	3	0	10	2	0
"DMKN"	14	0	0	0	0	0	0	0	2
"NOS1AP"	110	3	69	96	134	7	63	53	39
"NEDD1"	0	0	1	0	0	0	3	0	62
"ZNF550"	0	0	34	2	34	1	27	3	0
"LILRB4"	0	0	0	0	0	0	0	0	0
"KLK15"	0	0	0	0	0	0	0	0	0
"HOMER1"	41	6	38	29	73	13	17	13	6
"MFF"	259	244	75	132	317	166	72	66	204
"NBPF20"	0	0	4	4	6	0	0	1	0
"TP53"	0	0	1	0	0	0	6	0	5
"NKD2"	0	0	0	0	0	0	0	0	0
"RAB18"	639	18	396	143	534	158	241	256	295
"MSH5"	0	0	0	0	0	0	0	0	0
"CROCCP3"	0	0	19	0	14	0	3	0	0
"RNU1-1+RNU1-2+RNU1-27P+RNU1-28P+RNU1-3+RNU1-4+RNVU1-18"	0	0	0	0	0	0	0	0	0
"EYA1"	1	0	7	0	3	0	1	0	0
"CSE1L"	176	4	92	71	99	22	71	18	46
"USPL1"	40	0	20	2	120	1	8	25	186
"ALG3"	56	0	5	0	2	6	10	8	1
"CROCCP2"	13	52	56	12	33	23	7	33	65
"GPLD1"	28	58	83	23	32	9	11	24	34
"INAFM1"	2	0	18	16	12	0	15	23	1
"LOC100130264"	0	0	0	0	0	0	0	0	0
"PEX1"	7	0	27	0	25	1	21	2	56
"CRIP2"	79	34	13	11	3	7	40	15	38
"CST6"	0	0	0	0	0	0	0	0	0
"CST2"	0	0	0	0	0	0	0	0	0
"CNN1"	0	0	0	0	0	0	3	0	0
"AGRP"	0	0	0	0	0	0	0	0	0
"PPP3CA"	376	21	326	168	307	115	223	175	162
"SLC6A2"	0	0	0	2	1	0	0	1	0
"SLC2A4"	0	0	0	0	0	0	0	0	0
"CTSW"	0	0	0	0	0	0	0	0	0
"CTSO"	0	1	0	0	0	0	0	0	0
"CTSK"	0	1	18	0	1	0	11	0	0
"F2"	0	0	0	0	0	0	0	0	0
"CRYAA"	0	0	0	0	0	0	0	0	0
"COL5A2"	7	2	4	1	0	0	2	2	2
"CTBP2"	68	8	28	0	49	5	63	207	14
"KRT13"	0	0	0	0	0	0	0	0	0
"INPP4A"	305	31	198	52	98	91	86	93	81
"NSL1"	73	1	8	6	13	8	18	20	27
"BCO2"	39	0	90	6	150	17	79	5	107
"KIR3DL3"	0	0	0	0	0	0	0	0	0
"FCAR"	1	0	0	0	0	0	0	0	0
"GEMIN5"	15	5	37	107	0	0	1	4	30
"CNRIP1"	148	3	139	37	60	33	48	44	86
"NIPSNAP3A"	136	43	45	3	21	9	49	19	22
"TUBA1C"	1	11	5	3	6	4	15	5	5
"ZNF521"	54	0	1	27	1	40	0	0	6
"KLHDC7A"	0	0	0	0	0	0	0	0	0
"NEDD4L"	582	39	245	32	135	24	99	60	100
"POU2F2"	0	0	0	0	3	3	9	1	0
"CUL3"	35	2	17	19	40	2	15	1	43
"ZBTB24"	55	1	68	0	33	0	10	15	0
"EPM2AIP1"	471	19	315	125	204	258	110	263	299
"ZEB2"	40	0	1	1	0	4	17	12	51
"RGL1"	305	2	11	9	53	16	36	30	20
"MELK"	0	0	0	0	0	0	0	0	0
"DPH5"	0	0	8	6	1	0	3	5	3
"ELMO1"	199	1	114	22	37	8	54	12	21
"TPPP3"	15	46	95	1	58	1	10	23	57
"THAP4"	50	17	35	6	22	1	32	6	33
"HDDC2"	170	6	37	45	33	22	31	3	31
"FCF1"	4	54	0	24	3	9	11	0	3
"MED31"	24	0	0	0	6	1	0	0	1
"TRIM14"	1	5	64	0	10	5	18	7	0
"DNAJC6"	920	148	634	620	498	318	374	358	751
"CDH18"	6	0	8	23	5	10	9	0	3
"TPRKB"	1	0	19	2	4	4	4	0	3
"ARHGAP11A"	0	0	42	0	0	1	9	0	17
"MRPL4"	36	0	9	8	5	0	4	5	17
"MRPL48"	42	0	52	1	0	0	11	5	1
"LOC100129223"	0	0	0	0	0	0	0	0	0
"C14orf166"	0	0	0	0	0	0	0	0	0
"NOSIP"	1	0	6	1	18	0	40	0	2
"NUP54"	0	0	7	0	26	9	0	0	75
"LINC00491"	0	0	0	0	0	0	0	0	0
"LINC01029"	0	0	0	0	0	0	0	0	0
"ELMO1-AS1"	0	0	0	0	0	0	0	0	0
"LINC00408"	0	0	0	0	0	0	0	0	0
"LINC01007"	0	0	0	0	0	0	0	0	0
"LOC338694"	0	0	0	0	0	0	0	0	0
"PTENP1-AS"	0	0	0	0	0	0	0	0	0
"SLC16A1-AS1"	0	0	24	2	2	0	14	0	14
"RPS14P3"	0	0	0	0	0	0	0	0	0
"C9orf43"	0	0	0	0	0	0	0	0	0
"CXCL13"	0	0	0	0	0	0	0	0	0
"TPMT"	26	0	10	11	4	0	3	0	69
"SLC43A2"	27	1	36	0	52	0	39	50	33
"PDXDC1"	37	4	78	2	31	15	37	4	11
"PIF1"	1	0	0	0	0	0	0	0	21
"UTP15"	23	4	32	1	14	3	1	0	0
"MYRIP"	404	31	95	47	137	24	46	86	106
"ZNF582-AS1"	0	0	29	0	12	0	1	4	7
"IL21R-AS1"	0	0	9	0	0	0	0	0	0
"BVES-AS1"	0	0	0	0	0	0	5	0	0
"AK2"	51	0	38	6	33	12	2	0	0
"DNAJC25"	6	0	23	23	27	15	0	17	111
"PLEKHA8P1"	0	0	0	0	2	0	0	0	0
"LOC100289473"	0	0	0	0	0	0	0	0	0
"ATP6V0CP3"	0	0	0	0	0	0	0	0	0
"AP3S2"	63	3	37	0	25	0	5	60	68
"DCTN5"	247	18	130	37	212	13	81	44	56
"DEFT1P+DEFT1P2"	0	0	0	0	0	0	0	0	0
"SRGN"	0	0	0	0	0	0	1	1	0
"SUV39H2"	9	0	0	1	1	0	0	0	0
"BCL7B"	146	6	19	9	17	8	18	43	8
"DPY19L1P1"	2	0	4	0	3	0	3	1	15
"AZGP1P1"	0	0	0	0	0	0	0	0	0
"LOC100507557"	0	0	0	0	0	0	0	0	0
"MT1JP"	0	0	0	0	0	0	0	0	0
"SLC3A2"	1	0	52	18	82	6	6	21	29
"APITD1-CORT"	0	0	0	0	0	0	0	0	0
"ZFAS1"	1	6	5	5	22	0	17	1	0
"EFTUD1P1"	0	0	0	0	0	0	0	0	0
"WHAMMP1"	0	0	0	0	0	0	0	0	0
"CCDC144B"	10	0	18	0	51	0	8	0	12
"EPHA1-AS1"	0	0	0	0	0	0	0	0	0
"NME1-NME2"	0	0	0	0	0	0	0	0	0
"TNFSF12"	0	5	0	0	10	0	0	14	0
"ADAM1A"	0	0	0	0	0	0	0	0	0
"MROH7-TTC4"	0	0	0	0	0	0	0	0	0
"GOLGA2P5"	1	0	55	0	17	15	7	0	2
"PDGFC"	0	0	13	2	0	0	23	0	0
"YIPF1"	44	50	22	0	19	32	4	1	17
"SKP1P2"	0	0	0	0	0	0	0	0	0
"SORD"	6	0	10	0	1	0	0	0	0
"ROCK1P1"	0	0	0	0	5	0	0	0	0
"EBLN3"	184	2	56	11	37	12	18	65	32
"LOC151484"	0	0	0	0	0	0	0	0	0
"LINC00675"	0	0	0	0	0	0	0	0	0
"RHOU"	10	1	0	0	0	1	1	0	0
"DPP10-AS1"	0	0	13	0	1	0	1	2	0
"CASP12"	0	0	0	0	0	0	0	0	0
"RNF7"	45	7	54	36	47	1	22	5	83
"LOC729966"	0	0	0	0	0	0	0	0	0
"LOC155060"	0	0	0	0	0	0	0	0	0
"RBM5"	7	2	225	1	35	22	26	122	134
"VDAC1"	327	62	164	102	284	149	69	182	279
"DLST"	1	0	15	0	3	0	11	0	0
"CASP5"	0	0	0	0	0	0	0	0	0
"LOC100506747"	0	0	0	0	0	0	0	0	0
"UTY"	0	0	33	0	58	0	0	1	37
"PMF1"	11	0	0	0	0	0	0	15	0
"DMXL1"	378	340	264	108	226	90	81	155	257
"ZFR2"	1	6	39	3	0	7	3	1	21
"ANKRD11"	151	33	127	24	147	36	63	68	121
"POLL"	20	0	25	39	38	0	8	7	1
"PRRC2C"	239	51	285	99	444	114	181	221	457
"IGSF10"	0	0	0	1	0	0	0	0	0
"DAW1"	0	0	0	0	0	0	0	0	0
"VWDE"	0	0	22	0	0	0	0	0	0
"ARHGAP32"	163	0	79	13	51	63	83	55	75
"IFT140"	61	0	12	0	13	0	21	0	7
"CYP2D7"	0	0	0	0	0	0	0	0	0
"FLRT1"	0	0	0	0	0	23	1	0	0
"BCL2L2-PABPN1"	0	0	0	0	0	0	0	0	0
"TGFBR3"	0	0	0	2	0	0	3	0	0
"MAGEA10-MAGEA5"	0	0	0	0	0	0	0	0	0
"AP3B2"	53	14	56	81	31	8	27	23	28
"PPM1D"	0	1	16	0	0	53	23	0	1
"PRSS12"	0	0	0	0	0	1	0	0	0
"MAP4K3"	187	2	128	1	70	15	9	95	83
"BAG6"	13	4	34	24	22	3	27	50	15
"MARK2"	2	0	2	2	5	0	6	8	7
"DKFZp434J0226"	0	0	0	0	0	0	0	0	0
"PLD1"	0	1	0	0	0	0	9	0	0
"PPP1R18"	41	18	0	0	1	0	5	0	9
"MIR4448"	0	0	0	0	10	0	0	0	0
"ZNF668"	0	0	0	0	0	0	0	0	0
"FAM178B"	0	0	0	0	0	0	0	0	0
"RAB40C"	33	0	9	3	16	7	13	0	46
"ZFYVE28"	41	2	102	0	61	0	5	7	0
"IL17C"	0	0	0	0	0	0	0	0	0
"TMEM150B"	0	0	0	0	0	0	0	0	0
"UBTFL1"	0	0	0	0	0	0	0	0	0
"RAC3"	0	0	0	0	0	0	0	0	0
"DMD"	77	31	80	54	170	63	184	112	52
"PWP2"	0	0	0	0	0	0	0	0	0
"SF3B4"	0	0	13	6	27	1	0	1	23
"COCH"	0	0	0	0	10	0	0	0	0
"GYG2"	1	0	1	4	0	0	12	2	0
"PTH2R"	0	0	0	0	0	0	0	0	0
"AP1G2"	0	0	0	0	0	0	0	0	0
"PSMD5"	60	42	48	0	77	24	3	32	37
"GPRC5A"	121	0	48	0	3	17	7	36	0
"CDH17"	0	0	0	0	0	0	0	0	0
"RCAN3AS"	0	0	0	0	0	0	0	0	0
"PRR4"	0	0	0	0	0	0	6	0	0
"HPSE"	0	0	0	0	0	0	0	0	0
"NKIRAS2"	1	0	0	0	11	0	2	0	0
"SLC25A25"	6	0	0	0	12	0	22	16	14
"ZNF837"	0	0	0	0	0	0	0	0	0
"GPC5-AS1"	0	0	0	0	0	0	0	0	0
"FBXO28"	329	23	73	2	58	3	8	12	48
"OSBPL10-AS1"	0	0	0	0	0	0	0	0	0
"CNOT1"	14	0	4	1	4	0	0	9	27
"MAPKBP1"	3	0	14	0	4	0	0	0	0
"AKNAD1"	0	0	0	5	0	0	0	0	0
"IFITM3"	7	0	0	1	0	1	33	29	0
"RPP14"	127	0	1	13	33	2	18	0	14
"GGCT"	4	0	77	13	44	6	22	4	1
"INTS7"	63	0	28	0	14	0	9	12	3
"KREMEN2"	0	0	0	0	0	0	0	0	0
"NAT2"	0	0	0	0	0	0	0	0	0
"VPS33B"	0	17	8	0	0	0	0	0	0
"PDHA1"	40	12	66	14	41	47	27	24	31
"LINC00598"	0	0	0	0	0	0	1	0	0
"NKRF"	218	38	55	13	134	0	74	27	22
"PRKG2"	178	0	10	6	0	2	6	12	0
"OSCAR"	4	0	0	0	0	1	0	0	0
"BTBD3"	347	5	72	49	65	2	89	19	156
"TUBA1A"	2263	414	1492	515	1685	736	581	848	1457
"ADAMTS8"	0	0	0	0	0	0	0	0	0
"MANBA"	0	0	95	0	23	18	5	0	1
"IPP"	71	0	15	13	25	0	2	1	9
"SLC6A9"	12	0	1	0	2	0	10	0	6
"MAN1A1"	0	0	0	0	0	1	1	0	1
"DCAF8"	63	6	39	1	65	7	15	12	10
"KIAA0226"	0	0	0	0	0	0	0	0	0
"ZBTB16"	64	0	4	43	0	0	0	0	26
"IDH1"	21	23	101	8	57	20	6	68	9
"MAK"	0	0	3	0	12	0	0	0	0
"STMN2"	3430	618	1277	1158	1284	681	1083	1182	1791
"PDE4B"	139	31	115	82	128	109	21	19	170
"BCKDK"	5	0	43	5	49	0	3	26	4
"SMAD1"	2	0	4	24	3	31	7	8	2
